Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Product_Category,Profit,Quantity,Mode_of_Sale,Mode_of_Payment
Kampala,2022-04-23,,1,18.3,3.97,89.07,21.1,nan,1425.31,2,nan,Card Payment
Kigali,2025-03-10,106103.19,1,28.9,4.45,151.08,unknown,Electronics,203.58,6,In-Store,Card Payment
Beira,2025-04-18,145120.6,1,28.7,4.96,177.12,13.9,Beverages,1414.79,6,Online,
Maseru,2024-10-13,unknown,0,17.8,1.52,88.0,12.6,Furniture,1098.77,10,In-Store,Card Payment
Tete,2024-08-30,129908.11,0,12.3,1.21,150.87,11.9,nan,-438.31,2,In-Store,Mobile Transfer
Mutare,2021-05-17,43061.45,1,36.6,3.13,191.49,2.2,Clothing,690.52,2,In-Store,Mobile Transfer
Lilongwe,2023-07-09,171217.31,0,14.2,1.64,125.6,9.5,Electronics,231.28,6,In-Store,Mobile Transfer
Manzini,2021-10-02,152139.04,0,28.3,1.82,81.87,12.6,nan,-431.98,9,In-Store,Card Payment
Windhoek,,115255.53,0,17.7,4.37,103.92,24.7,Furniture,563.01,4,In-Store,Mobile Transfer
Nampula,2021-11-15,72907.64,1,27.5,3.0,133.07,20.9,Groceries,669.63,10,In-Store,Cash
Nakuru,,127348.24,0,unknown,,137.46,9.4,Clothing,4.46,4,Online,
Lubango,2022-06-03,130527.44,1,18.7,3.76,187.33,5.1,Clothing,1379.76,2,In-Store,Cash
Kitwe,2021-09-03,122944.26,0,26.9,2.28,88.83,17.4,nan,720.91,4,Online,Mobile Transfer
Malindi,2024-06-14,184548.02,0,21.2,4.22,189.67,6.0,Clothing,-148.07,10,In-Store,Card Payment
Bulawayo,2021-05-31,7754.01,1,26.7,3.04,130.83,5.3,nan,942.51,7,In-Store,Mobile Transfer
Dodoma,2021-11-16,67575.03,1,31.1,1.12,120.23,15.1,Groceries,498.28,4,In-Store,Cash
Kampala,2024-01-10,139280.04,1,38.3,1.14,140.55,22.4,Clothing,446.47,6,Online,Mobile Transfer
Morogoro,2022-12-09,4131.5,1,31.4,1.8,95.11,21.4,nan,1169.07,5,In-Store,Card Payment
Ndola,2023-10-14,,0,33.9,4.46,176.96,6.2,nan,-223.64,7,Online,Card Payment
Zanzibar,2020-10-11,166582.44,0,33.4,2.26,105.57,3.1,Clothing,481.97,3,Online,Mobile Transfer
Bulawayo,2020-09-07,34707.23,0,14.9,2.55,146.84,11.8,Clothing,1061.53,3,In-Store,Card Payment
Dar_es_Salaam,2021-05-13,13064.19,0,19.8,,108.28,15.1,Furniture,820.78,5,In-Store,Cash
Harare,2021-08-29,137082.19,0,11.3,3.87,97.36,7.9,Groceries,-489.17,4,In-Store,Cash
Livingstone,2024-01-22,16542.03,0,12.9,2.83,152.27,6.0,nan,1074.9,5,In-Store,
Kampala,2024-12-13,56700.02,1,16.7,4.75,188.07,10.8,Electronics,1389.34,1,Online,Mobile Transfer
Nampula,2024-04-02,170470.71,1,13.8,4.91,181.45,17.8,Electronics,909.34,4,Online,Mobile Transfer
Bulawayo,2023-11-02,196808.35,0,10.1,4.03,129.6,12.1,Groceries,1251.8,6,In-Store,
Nakuru,2020-09-23,106426.23,1,18.7,1.52,158.44,6.7,Groceries,221.62,7,nan,Card Payment
Addis_Ababa,2025-03-13,1392.6,1,20.8,2.44,106.59,22.2,Electronics,201.21,8,Online,Card Payment
Gaborone,2023-01-17,86852.37,0,16.1,1.7,110.24,7.2,Groceries,,5,nan,Cash
Dodoma,2022-02-01,169152.89,1,33.9,4.06,86.5,2.3,Furniture,969.94,2,Online,Mobile Transfer
Lilongwe,2024-08-23,189222.99,1,,,123.49,8.6,Beverages,1384.13,,In-Store,Mobile Transfer
Bujumbura,2022-04-15,17106.06,1,24.4,2.08,198.82,11.1,Groceries,1270.8,3,In-Store,Mobile Transfer
Gaborone,,167777.32,1,32.0,1.0,195.22,13.3,Furniture,-199.57,4,In-Store,Cash
Mbeya,2021-05-11,150216.38,1,37.3,4.19,,6.2,Beverages,752.22,6,Online,Card Payment
Gweru,2025-04-08,29744.38,0,24.0,3.58,122.51,2.5,Electronics,1491.92,5,In-Store,Card Payment
Juba,2021-09-04,30232.81,1,15.0,3.98,89.45,7.8,nan,90.74,5,In-Store,Mobile Transfer
Kigali,2023-09-23,199679.17,0,33.6,4.76,97.31,23.0,Groceries,769.57,9,In-Store,Card Payment
Lusaka,2021-12-28,175560.15,0,37.3,4.42,165.49,7.6,Clothing,1313.25,9,In-Store,Cash
Kafue,2024-05-11,140340.43,0,17.3,4.14,181.94,4.8,Clothing,1299.1,3,nan,Mobile Transfer
Addis_Ababa,2024-08-28,169645.41,1,16.2,1.63,89.42,5.5,nan,142.95,9,Online,Card Payment
,2025-07-02,,1,34.3,1.77,103.15,20.7,Clothing,-312.15,1,In-Store,Card Payment
Gweru,2025-06-04,12196.57,unknown,13.7,2.95,182.91,20.2,Electronics,,4,Online,
Kigali,2022-03-31,,1,36.6,3.25,124.11,24.2,Beverages,1393.93,,In-Store,Mobile Transfer
Nampula,2021-07-10,98737.68,1,11.1,3.92,133.93,9.3,nan,515.97,9,Online,Card Payment
Bujumbura,2021-10-30,124454.78,0,11.5,2.65,134.24,3.1,nan,415.41,5,Online,
Chimoio,2022-03-12,10894.07,1,19.8,3.98,116.36,20.1,Furniture,1227.9,2,In-Store,Card Payment
Tanga,2024-10-12,126169.97,1,14.0,2.12,112.82,12.9,Furniture,,8,Online,Card Payment
Gweru,2023-01-01,138055.11,0,30.7,1.91,97.01,13.9,Electronics,861.86,8,Online,
Dodoma,2022-11-10,126130.15,0,23.4,3.71,,24.6,Furniture,277.28,9,In-Store,Card Payment
Nampula,2020-08-20,198298.03,0,34.2,4.77,109.06,12.7,Clothing,254.27,6,In-Store,Cash
Nampula,2023-04-30,119139.34,0,12.8,1.38,188.32,7.7,Beverages,,9,In-Store,Cash
Chimoio,2021-10-30,122066.59,0,14.8,1.02,182.75,18.1,Clothing,-323.1,10,In-Store,Card Payment
Lindi,2021-05-07,188925.09,1,11.4,1.62,185.89,9.4,nan,1270.32,10,In-Store,Card Payment
Lusaka,2023-03-20,,1,10.6,3.47,106.77,10.0,Groceries,-137.56,8,nan,
Lilongwe,2025-06-07,122889.76,1,,1.63,104.14,14.9,Furniture,-375.56,5,Online,Card Payment
Arusha,2023-10-17,50845.42,1,33.5,4.54,190.24,5.2,Furniture,664.62,4,In-Store,
,2021-08-17,71640.99,0,15.8,4.92,133.99,15.8,Clothing,591.99,7,In-Store,Cash
Lusaka,2023-03-31,4187.11,0,34.8,2.08,187.23,2.3,Groceries,635.51,6,Online,Card Payment
Mombasa,2021-09-09,94959.25,1,13.4,3.76,105.86,23.9,Groceries,436.21,4,In-Store,Cash
Livingstone,unknown,184250.46,1,15.3,3.06,111.73,18.6,nan,-216.13,2,nan,Card Payment
Windhoek,2021-05-24,55011.62,1,30.1,4.53,84.77,6.3,nan,-458.17,10,In-Store,
Francistown,2025-05-05,38391.6,1,14.2,3.94,151.2,17.1,Groceries,-407.17,9,In-Store,
Kisumu,2023-09-18,196857.55,1,39.7,2.8,85.03,9.6,Electronics,1386.29,4,In-Store,Card Payment
Manzini,2021-12-27,,1,32.2,4.95,85.52,6.3,Electronics,,3,Online,Card Payment
Nairobi,2024-10-05,130753.49,1,23.7,1.47,,18.0,Electronics,299.44,10,In-Store,Cash
Eldoret,2021-07-30,23628.86,0,23.3,2.77,150.51,10.7,Clothing,321.66,6,In-Store,
Dar_es_Salaam,2023-07-12,117590.95,0,39.6,2.12,150.68,13.5,nan,804.39,2,nan,Mobile Transfer
Eldoret,2025-01-10,172867.9,1,14.2,2.92,118.08,16.5,nan,253.33,8,In-Store,Cash
Harare,2020-12-23,,1,31.8,1.96,126.83,21.5,Groceries,,9,In-Store,Card Payment
Lindi,2021-07-28,147455.24,0,22.2,1.01,80.24,21.4,Furniture,19.89,4,In-Store,Cash
Kitwe,2024-06-30,42702.51,1,14.1,1.64,169.83,7.0,Groceries,234.52,10,In-Store,Mobile Transfer
Livingstone,2020-09-27,175164.76,1,11.5,3.45,105.35,11.7,Furniture,1369.99,7,In-Store,Cash
Maseru,2024-12-01,116791.42,0,10.9,2.51,192.21,5.9,nan,20.57,1,In-Store,Mobile Transfer
Nakuru,2023-10-21,162369.52,1,31.3,3.51,127.22,3.3,Furniture,823.17,2,Online,Card Payment
Mbeya,2025-02-07,24642.57,1,31.9,3.52,144.25,8.1,Electronics,229.13,4,In-Store,Card Payment
Windhoek,2022-07-26,unknown,1,unknown,4.64,138.66,13.3,nan,442.39,,In-Store,Cash
Francistown,2022-04-11,52024.95,0,24.9,2.51,120.97,8.9,Beverages,-409.62,10,nan,
Tete,2020-11-19,198125.97,1,21.5,2.37,171.98,17.8,Clothing,-165.53,8,In-Store,Mobile Transfer
Tanga,2023-08-29,unknown,0,28.4,1.71,166.69,4.5,Electronics,-296.17,2,Online,Mobile Transfer
Ndola,2022-06-19,28037.63,1,22.8,3.72,177.25,24.2,Beverages,,2,In-Store,
Harare,2024-06-08,42743.59,0,25.6,2.08,145.6,18.5,Groceries,1423.38,10,In-Store,Cash
Zanzibar,2020-10-18,182974.7,1,38.1,1.23,167.85,20.9,Groceries,-364.05,5,In-Store,Mobile Transfer
Dar_es_Salaam,2020-12-17,6160.89,1,26.9,3.91,86.26,11.6,nan,-346.31,2,In-Store,Mobile Transfer
Windhoek,2022-01-26,51267.67,0,39.4,,189.8,3.7,Groceries,604.34,3,In-Store,Cash
Mutare,2022-10-23,152085.91,1,11.0,2.77,189.47,22.6,Furniture,508.07,10,In-Store,Cash
Addis_Ababa,2024-09-02,7252.08,1,39.3,4.19,129.16,17.8,Clothing,801.14,9,In-Store,Cash
Maseru,2023-06-01,,,29.9,3.07,127.75,4.6,Beverages,973.61,9,In-Store,Card Payment
Lindi,2024-04-18,113373.7,0,22.8,4.16,174.71,19.7,Beverages,1094.44,6,In-Store,Card Payment
Beira,2025-03-22,14304.9,0,36.7,4.3,138.21,21.3,nan,-201.83,9,In-Store,Card Payment
Kisumu,2021-03-20,154090.15,1,28.1,4.55,unknown,6.6,Groceries,-424.33,8,In-Store,Mobile Transfer
Juba,2024-10-06,91393.97,1,33.3,4.3,85.66,7.4,Electronics,1278.32,,In-Store,Mobile Transfer
Beira,2022-10-07,149215.91,1,27.3,1.21,139.33,16.1,Furniture,439.08,8,In-Store,Card Payment
,2022-05-30,72403.2,0,17.9,2.13,101.32,unknown,nan,1442.49,7,In-Store,Card Payment
Kafue,2023-01-30,120003.65,1,27.8,4.6,187.75,2.3,Clothing,565.54,9,In-Store,Card Payment
Dar_es_Salaam,2023-03-16,172128.36,1,24.0,2.32,148.74,6.5,Groceries,520.05,7,In-Store,Card Payment
Blantyre,,136809.16,0,31.5,3.44,175.44,17.4,Clothing,745.96,5,Online,Mobile Transfer
Gaborone,2025-02-17,15027.38,0,31.1,2.82,178.79,15.1,Electronics,-159.71,5,nan,Card Payment
Dar_es_Salaam,2022-10-09,153416.05,0,32.6,5.0,88.62,19.8,Beverages,8.08,4,In-Store,Mobile Transfer
Livingstone,2020-12-10,116204.22,1,28.7,2.42,173.76,5.6,Beverages,1311.61,2,In-Store,Cash
Tete,2020-11-09,12055.53,0,13.2,1.98,116.91,10.1,Groceries,-75.34,5,In-Store,Cash
Ndola,2022-07-10,34671.65,1,25.6,4.09,187.87,,Beverages,-34.06,,In-Store,Cash
Mbabane,2023-01-08,,1,30.3,4.94,85.09,20.3,Furniture,519.97,4,In-Store,Mobile Transfer
Chimoio,2024-02-21,104654.8,1,24.5,1.65,107.34,17.3,Electronics,782.3,1,In-Store,Mobile Transfer
Francistown,2022-02-18,170070.99,0,38.9,4.22,109.48,7.2,Furniture,-498.19,2,In-Store,Mobile Transfer
Mombasa,2020-09-18,,0,36.4,1.85,117.74,6.9,Beverages,413.56,2,In-Store,Cash
Mutare,2024-07-18,128994.38,1,13.3,2.63,173.66,6.0,Clothing,,,In-Store,Card Payment
Bujumbura,2022-05-24,128064.15,1,32.7,4.99,131.61,4.3,nan,1231.24,2,In-Store,
Nampula,2024-07-01,83854.93,0,25.5,2.54,164.31,,Groceries,1179.39,10,In-Store,Cash
Kabwe,2022-12-28,81915.64,0,38.6,4.08,111.45,11.9,nan,1311.85,,In-Store,Mobile Transfer
Windhoek,2024-07-22,33775.51,0,11.5,3.46,129.86,23.5,Beverages,1184.1,3,Online,Mobile Transfer
Chipata,2024-06-25,133996.15,1,19.4,2.97,116.19,13.2,Furniture,1073.42,2,In-Store,
Tete,2025-05-07,191062.24,0,37.4,4.9,138.3,19.1,Groceries,1218.01,8,In-Store,Mobile Transfer
Zanzibar,,153906.65,1,28.6,2.63,113.63,4.9,nan,-150.39,2,nan,Cash
Mombasa,2020-11-29,,1,30.1,1.8,100.26,17.4,Clothing,181.7,9,In-Store,Card Payment
Chimoio,2020-08-13,73388.83,1,26.5,4.37,190.27,9.1,Beverages,867.24,3,In-Store,
Kampala,2023-12-18,79957.6,0,28.7,2.67,129.42,6.2,nan,1346.26,9,In-Store,
,2025-02-28,,1,32.5,4.87,148.09,4.9,Clothing,833.82,,Online,Mobile Transfer
Beira,2023-03-20,13658.3,1,38.4,2.74,179.71,unknown,nan,-84.1,9,In-Store,Cash
Lubango,2023-05-27,106027.95,,10.7,1.49,177.9,2.2,Furniture,1389.33,6,In-Store,Mobile Transfer
Gweru,2022-10-01,195638.75,0,29.1,2.14,187.17,10.4,Furniture,1020.68,2,In-Store,Mobile Transfer
Tanga,2020-09-09,168142.21,0,31.0,1.54,133.19,19.5,nan,,1,In-Store,Card Payment
Asmara,2023-01-05,170827.66,0,38.8,1.72,100.43,2.9,Furniture,1025.01,3,In-Store,Card Payment
Lubango,2024-05-17,128355.95,1,24.1,1.53,97.17,8.5,Electronics,818.29,7,In-Store,Cash
Gaborone,unknown,12232.01,0,30.6,2.08,185.85,15.4,Furniture,-455.77,10,In-Store,Cash
Arusha,2020-09-28,148327.97,0,34.8,1.62,104.52,22.3,Furniture,7.24,3,In-Store,Mobile Transfer
Malindi,2023-08-13,149136.14,1,28.5,4.96,162.8,11.2,Groceries,1413.14,3,Online,Card Payment
Nampula,2024-09-05,68411.37,1,23.9,unknown,174.84,16.4,Clothing,77.21,7,In-Store,Cash
Eldoret,2020-10-16,116391.99,0,21.0,2.15,152.58,22.5,Groceries,1043.25,7,In-Store,Card Payment
Bujumbura,2022-06-04,187221.47,1,18.4,3.87,97.25,13.2,Groceries,348.97,4,In-Store,Card Payment
Dar_es_Salaam,2024-05-13,132710.15,0,15.1,2.83,184.34,22.7,Beverages,1315.06,1,In-Store,Card Payment
Manzini,2021-01-08,81770.75,0,33.4,1.03,150.11,19.0,Groceries,615.34,10,In-Store,Cash
Lindi,2020-10-06,31362.95,1,19.3,4.82,104.65,21.4,Clothing,763.77,8,Online,Card Payment
Chipata,2024-06-26,144388.65,1,39.4,2.41,,18.5,Electronics,-20.75,8,In-Store,Card Payment
Lilongwe,,78226.49,1,35.4,1.81,157.61,3.8,nan,-384.95,6,In-Store,Card Payment
Dar_es_Salaam,2024-01-21,73612.39,1,24.6,1.89,142.79,9.5,Clothing,1013.11,1,In-Store,Mobile Transfer
Tete,2022-01-14,163203.39,0,27.0,2.29,174.55,20.8,Beverages,-364.71,10,In-Store,Cash
Bujumbura,2023-01-26,74923.07,0,34.8,1.11,147.33,2.0,Electronics,943.6,3,nan,Cash
Gweru,2023-09-23,58946.79,1,23.9,3.56,153.89,14.9,Groceries,610.99,6,Online,Card Payment
Lindi,2021-11-02,81681.94,0,15.5,1.34,139.53,21.9,Groceries,1140.05,10,In-Store,Mobile Transfer
Eldoret,2020-11-27,144826.58,1,19.0,1.66,96.75,23.0,Electronics,-88.45,6,In-Store,Card Payment
Mutare,2023-01-25,172003.37,1,14.2,2.02,139.67,20.9,Groceries,583.06,1,In-Store,Cash
Nairobi,,6751.34,1,22.5,4.81,81.94,21.2,Furniture,728.34,7,In-Store,
Blantyre,2021-01-21,19529.99,1,13.6,3.46,98.39,,Electronics,-351.4,2,In-Store,Card Payment
Morogoro,2020-10-19,29751.31,1,,3.33,96.59,4.5,Beverages,977.88,8,In-Store,
Windhoek,,95141.42,1,28.4,1.0,164.63,3.7,Clothing,278.06,6,Online,Mobile Transfer
Lindi,2024-09-23,121679.94,0,25.7,1.21,130.99,19.8,Furniture,-242.17,1,In-Store,Mobile Transfer
Morogoro,2022-03-20,,1,30.8,4.99,198.21,8.3,Clothing,274.13,2,In-Store,Cash
Kafue,2023-03-07,11788.4,1,19.0,2.06,179.65,17.8,Beverages,-303.4,6,In-Store,Mobile Transfer
Morogoro,2024-10-05,140267.0,0,36.7,4.7,131.59,14.4,Clothing,1275.99,2,In-Store,
Dodoma,2024-02-09,,0,12.7,1.74,178.98,19.5,Furniture,413.52,4,In-Store,Card Payment
Kitwe,2022-09-16,197937.0,1,21.1,2.19,,18.7,nan,-223.94,9,In-Store,Cash
Eldoret,2023-01-19,5203.34,unknown,25.6,1.42,171.51,7.2,Electronics,4.19,3,In-Store,Cash
Nakuru,2025-07-13,52479.57,1,22.8,3.85,135.41,unknown,Clothing,949.3,5,Online,Mobile Transfer
Eldoret,2024-04-04,182480.0,0,26.1,2.79,199.75,20.3,nan,1072.18,3,Online,
Manzini,2024-10-02,130145.34,0,19.4,3.52,156.04,6.4,Electronics,-417.37,8,Online,Card Payment
Morogoro,2025-02-05,175019.13,0,26.0,2.32,176.08,9.0,Beverages,-380.24,10,In-Store,Cash
Lindi,2021-10-03,131309.57,unknown,,1.61,182.0,18.8,Clothing,1334.37,5,In-Store,Mobile Transfer
Harare,2023-08-28,133613.32,1,15.6,3.07,100.71,20.3,Clothing,,10,In-Store,Mobile Transfer
,2022-04-20,18364.25,1,16.0,3.21,98.86,2.4,Furniture,-113.35,,In-Store,Cash
Juba,2020-12-17,176281.99,1,34.2,2.75,85.24,,Groceries,-253.88,6,In-Store,Card Payment
Kitwe,2024-11-02,,0,20.5,4.21,99.39,20.8,nan,451.91,4,In-Store,Mobile Transfer
Livingstone,2024-09-02,105959.69,0,36.1,1.3,176.65,9.8,Electronics,1042.11,10,Online,Mobile Transfer
Tanga,2024-10-11,,0,34.6,4.36,103.88,17.2,Groceries,542.24,4,nan,Mobile Transfer
Ndola,2022-09-23,81312.55,1,13.5,,90.02,17.1,Clothing,-458.65,10,In-Store,Cash
Blantyre,2025-04-15,23534.21,0,34.9,2.42,127.24,4.7,Beverages,,1,nan,Card Payment
Ndola,2025-03-15,60715.34,,36.5,4.07,93.17,17.5,nan,123.31,6,In-Store,Card Payment
Zanzibar,2021-05-13,34044.9,0,16.0,1.49,190.27,15.5,Furniture,865.72,4,In-Store,
Lubango,2022-01-20,162979.04,0,11.1,4.16,84.15,5.7,Clothing,547.02,6,In-Store,Cash
,2023-02-05,184833.69,0,14.5,4.41,186.84,19.4,Furniture,1430.67,8,nan,Mobile Transfer
Maputo,2024-05-15,22608.83,1,23.9,1.14,166.28,20.8,Beverages,696.33,,In-Store,Cash
Gweru,2024-01-24,,1,30.2,1.4,148.03,23.8,Clothing,764.96,9,nan,Cash
Bujumbura,2024-06-20,152646.22,1,38.1,2.73,102.48,21.3,Electronics,540.46,1,In-Store,Cash
Juba,2021-07-25,2595.14,0,32.7,1.65,176.06,,Furniture,,5,In-Store,Cash
Lindi,2021-09-05,182962.65,0,30.9,1.12,143.73,19.9,nan,,7,In-Store,Mobile Transfer
Bujumbura,2021-12-01,136770.68,1,21.7,1.51,146.95,12.4,Furniture,165.82,1,In-Store,Cash
Manzini,2020-08-01,4359.23,0,22.7,1.02,80.42,12.2,Clothing,934.7,6,In-Store,Mobile Transfer
Lindi,2021-09-08,90263.77,0,34.3,2.4,176.3,17.3,Groceries,-26.31,1,Online,
unknown,2024-04-12,177410.33,0,26.1,,89.36,3.2,Groceries,235.32,6,In-Store,Card Payment
Addis_Ababa,2021-11-24,,1,20.9,1.13,171.72,,nan,667.3,7,In-Store,
Dodoma,2025-05-13,188010.54,1,32.2,4.6,97.35,2.7,Beverages,756.98,5,In-Store,Mobile Transfer
Tanga,2021-02-15,154895.54,1,33.0,2.35,131.64,11.8,Beverages,837.23,,In-Store,Cash
Lindi,2024-07-15,137218.87,1,28.4,,197.28,,Electronics,900.63,2,Online,Mobile Transfer
Bujumbura,2024-05-28,155076.45,0,13.5,4.78,109.0,8.2,Furniture,136.61,6,In-Store,
Kafue,2024-01-26,20185.16,1,32.8,3.78,148.93,19.0,Groceries,1285.15,6,In-Store,Mobile Transfer
Tete,2020-10-01,11950.72,1,33.0,3.81,182.74,14.4,Furniture,-440.13,1,In-Store,Mobile Transfer
Ndola,2024-11-19,152323.7,0,26.9,1.89,131.19,21.3,Beverages,-123.14,10,In-Store,Cash
Maseru,2023-01-09,72686.53,0,31.8,3.46,184.26,7.6,Groceries,-359.72,9,Online,Mobile Transfer
Gweru,2020-08-02,192331.63,0,30.4,3.32,181.6,18.1,Clothing,843.07,7,Online,Mobile Transfer
Kabwe,2021-09-14,29079.03,0,16.2,4.08,131.15,14.8,Groceries,47.33,,nan,Mobile Transfer
Addis_Ababa,2022-04-03,196741.69,0,26.9,1.43,147.72,19.9,Clothing,-101.69,10,In-Store,Card Payment
unknown,2021-05-14,199643.09,1,24.0,1.11,144.55,21.9,Beverages,461.33,2,In-Store,Card Payment
Chipata,2021-01-25,72421.86,1,38.2,1.7,,20.0,Clothing,738.1,6,In-Store,Mobile Transfer
Tanga,2022-10-26,191826.51,0,13.4,4.93,121.72,3.8,Beverages,738.49,9,In-Store,Cash
,2025-07-14,111097.93,,29.3,3.97,118.54,19.3,Beverages,614.91,1,In-Store,Mobile Transfer
Blantyre,2021-08-07,72252.75,0,20.7,4.56,191.93,4.8,Beverages,1483.97,5,In-Store,Mobile Transfer
Gaborone,2023-01-10,84941.72,,25.1,1.23,113.39,15.4,nan,1220.43,8,In-Store,Cash
Kafue,2021-08-22,55661.07,0,22.5,1.72,156.25,3.9,Furniture,-22.28,4,Online,Mobile Transfer
Tanga,2021-12-03,88036.05,0,21.2,4.27,111.63,16.6,Clothing,1017.43,1,In-Store,
Eldoret,2024-07-09,32175.97,1,14.2,2.41,199.02,15.9,Groceries,638.59,7,In-Store,Cash
Lubango,2024-10-16,109043.72,1,22.6,4.92,186.6,7.8,Electronics,-358.96,1,In-Store,Mobile Transfer
Lusaka,2023-11-19,156230.61,0,19.2,2.49,186.43,8.2,Groceries,-400.84,,In-Store,
Kabwe,2021-05-19,76739.22,1,37.1,1.0,105.98,,nan,1099.24,10,In-Store,Mobile Transfer
Gaborone,2022-07-21,10283.02,1,36.1,4.55,153.08,22.8,Electronics,589.98,7,In-Store,Card Payment
Kigali,2025-05-29,157377.32,1,35.8,4.05,180.94,21.1,nan,642.65,7,In-Store,Mobile Transfer
Asmara,2023-04-04,123772.62,0,32.0,4.98,143.76,17.3,Beverages,172.54,5,Online,Card Payment
Mbeya,2023-02-28,126382.55,0,38.3,2.28,124.98,18.7,nan,1360.7,4,In-Store,Mobile Transfer
Nakuru,2020-11-24,79581.23,0,11.1,3.88,136.76,15.9,nan,926.7,4,nan,Mobile Transfer
Chimoio,2024-11-16,198566.83,0,27.8,3.31,96.03,4.6,Groceries,1355.54,1,In-Store,Mobile Transfer
